IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.126.3,2083,2083,true,SIN,Asia Pacific,Singapore,105,10.50
8.219.55.31,2053,2053,true,SIN,Asia Pacific,Singapore,56,10.50
8.219.228.186,2053,2053,true,SIN,Asia Pacific,Singapore,127,10.49
8.222.222.64,2086,2086,false,SIN,Asia Pacific,Singapore,17,10.49
8.217.251.62,2083,2083,true,HKG,Asia Pacific,Hong Kong,48,10.49
8.219.250.239,80,80,false,SIN,Asia Pacific,Singapore,28,10.49
8.222.255.15,80,80,false,SIN,Asia Pacific,Singapore,23,10.49
8.219.215.214,80,80,false,SIN,Asia Pacific,Singapore,22,10.49
47.245.41.169,8443,8443,true,NRT,Asia Pacific,Tokyo,174,10.49
8.219.58.64,2087,2087,true,SIN,Asia Pacific,Singapore,55,10.48
47.236.7.13,2053,2053,true,SIN,Asia Pacific,Singapore,63,10.48
47.236.117.48,8080,8080,false,SIN,Asia Pacific,Singapore,16,10.48
8.219.196.24,2082,2082,false,SIN,Asia Pacific,Singapore,23,10.47
8.222.214.231,2095,2095,false,SIN,Asia Pacific,Singapore,14,10.47
8.219.65.191,8443,8443,true,SIN,Asia Pacific,Singapore,63,10.47
47.74.3.2,2096,2096,true,NRT,Asia Pacific,Tokyo,111,10.46
8.219.220.88,8080,8080,false,SIN,Asia Pacific,Singapore,12,10.45
8.219.51.211,2095,2095,false,SIN,Asia Pacific,Singapore,21,10.45
8.219.87.34,80,80,false,SIN,Asia Pacific,Singapore,13,10.45
47.245.2.231,2053,2053,true,NRT,Asia Pacific,Tokyo,144,10.45
8.219.104.242,2086,2086,false,SIN,Asia Pacific,Singapore,9,10.45
8.219.175.127,8080,8080,false,SIN,Asia Pacific,Singapore,12,10.45
8.219.134.117,80,80,false,SIN,Asia Pacific,Singapore,4,10.44
47.74.16.67,8443,8443,true,NRT,Asia Pacific,Tokyo,319,10.44
8.219.215.214,2083,2083,true,SIN,Asia Pacific,Singapore,59,10.44
47.74.9.174,2086,2086,false,NRT,Asia Pacific,Tokyo,79,10.43
8.219.248.47,2052,2052,false,SIN,Asia Pacific,Singapore,19,10.43
8.219.111.175,2087,2087,true,SIN,Asia Pacific,Singapore,91,10.43
47.245.54.58,2087,2087,true,NRT,Asia Pacific,Tokyo,112,10.42
8.219.103.57,2082,2082,false,SIN,Asia Pacific,Singapore,10,10.42
47.74.41.136,2086,2086,false,NRT,Asia Pacific,Tokyo,82,10.42
8.218.143.10,80,80,false,HKG,Asia Pacific,Hong Kong,47,10.42
8.222.211.16,2096,2096,true,SIN,Asia Pacific,Singapore,123,10.42
8.219.170.223,2052,2052,false,SIN,Asia Pacific,Singapore,5,10.41
47.245.1.168,8880,8880,false,NRT,Asia Pacific,Tokyo,80,10.41
47.245.37.98,2053,2053,true,NRT,Asia Pacific,Tokyo,87,10.41
8.217.239.116,2087,2087,true,HKG,Asia Pacific,Hong Kong,83,10.41
47.245.8.156,8080,8080,false,NRT,Asia Pacific,Tokyo,77,10.41
8.219.228.193,2053,2053,true,SIN,Asia Pacific,Singapore,48,10.40
47.245.37.29,2053,2053,true,NRT,Asia Pacific,Tokyo,142,10.40
8.219.51.211,2053,2053,true,SIN,Asia Pacific,Singapore,59,10.40
47.74.16.67,2083,2083,true,NRT,Asia Pacific,Tokyo,201,10.40
47.245.4.22,2086,2086,false,HKG,Asia Pacific,Hong Kong,169,10.39
8.219.222.8,2096,2096,true,SIN,Asia Pacific,Singapore,58,10.39
47.74.45.143,2095,2095,false,NRT,Asia Pacific,Tokyo,71,10.39
8.219.75.44,80,80,false,SIN,Asia Pacific,Singapore,10,10.39
8.219.209.14,8880,8880,false,SIN,Asia Pacific,Singapore,14,10.39
47.74.54.145,2052,2052,false,NRT,Asia Pacific,Tokyo,81,10.38
47.245.4.219,2083,2083,true,NRT,Asia Pacific,Tokyo,93,10.38
8.222.180.242,8443,8443,true,SIN,Asia Pacific,Singapore,30,10.38
8.219.73.188,2087,2087,true,SIN,Asia Pacific,Singapore,70,10.38
8.219.175.127,8080,8080,false,SIN,Asia Pacific,Singapore,6,10.38
47.245.6.9,8080,8080,false,HKG,Asia Pacific,Hong Kong,169,10.38
47.243.70.197,2095,2095,false,HKG,Asia Pacific,Hong Kong,49,10.38
47.74.8.238,8880,8880,false,NRT,Asia Pacific,Tokyo,74,10.38
47.74.11.9,2095,2095,false,NRT,Asia Pacific,Tokyo,84,10.37
47.74.8.238,2052,2052,false,NRT,Asia Pacific,Tokyo,100,10.37
8.219.249.38,2087,2087,true,SIN,Asia Pacific,Singapore,122,10.36
47.74.15.80,8443,8443,true,NRT,Asia Pacific,Tokyo,104,10.36
47.245.8.156,2096,2096,true,NRT,Asia Pacific,Tokyo,129,10.35
8.219.60.54,2052,2052,false,SIN,Asia Pacific,Singapore,9,10.35
47.91.17.102,2096,2096,true,NRT,Asia Pacific,Tokyo,129,10.35
47.74.22.171,2087,2087,true,NRT,Asia Pacific,Tokyo,242,10.35
8.219.250.239,2083,2083,true,SIN,Asia Pacific,Singapore,60,10.35
8.222.168.24,2096,2096,true,SIN,Asia Pacific,Singapore,115,10.35
47.74.37.50,2082,2082,false,NRT,Asia Pacific,Tokyo,80,10.35
8.219.249.38,2086,2086,false,SIN,Asia Pacific,Singapore,6,10.35
8.219.201.174,443,443,true,SIN,Asia Pacific,Singapore,37,10.34
8.219.60.54,8880,8880,false,SIN,Asia Pacific,Singapore,8,10.34
47.74.23.99,2096,2096,true,NRT,Asia Pacific,Tokyo,147,10.34
8.219.103.65,2053,2053,true,SIN,Asia Pacific,Singapore,94,10.33
47.245.41.84,2083,2083,true,NRT,Asia Pacific,Tokyo,153,10.33
8.219.242.208,2086,2086,false,SIN,Asia Pacific,Singapore,8,10.33
8.219.228.157,2087,2087,true,SIN,Asia Pacific,Singapore,92,10.33
8.219.228.193,8880,8880,false,SIN,Asia Pacific,Singapore,4,10.32
47.74.46.84,80,80,false,NRT,Asia Pacific,Tokyo,88,10.32
8.219.72.51,8080,8080,false,SIN,Asia Pacific,Singapore,10,10.32
8.219.84.102,2083,2083,true,SIN,Asia Pacific,Singapore,157,10.32
47.74.0.183,2053,2053,true,NRT,Asia Pacific,Tokyo,148,10.32
8.219.170.180,2083,2083,true,SIN,Asia Pacific,Singapore,84,10.31
8.219.66.156,2053,2053,true,SIN,Asia Pacific,Singapore,71,10.31
8.222.214.231,2083,2083,true,SIN,Asia Pacific,Singapore,84,10.31
8.219.199.220,80,80,false,SIN,Asia Pacific,Singapore,19,10.31
47.245.37.98,2083,2083,true,NRT,Asia Pacific,Tokyo,114,10.31
8.222.187.4,8443,8443,true,SIN,Asia Pacific,Singapore,87,10.31
8.219.156.148,8443,8443,true,SIN,Asia Pacific,Singapore,81,10.30
8.219.106.156,2087,2087,true,SIN,Asia Pacific,Singapore,73,10.30
8.219.60.68,2082,2082,false,SIN,Asia Pacific,Singapore,6,10.30
8.209.222.31,2095,2095,false,NRT,Asia Pacific,Tokyo,75,10.30
47.245.9.99,2052,2052,false,NRT,Asia Pacific,Tokyo,80,10.29
47.74.13.94,8080,8080,false,NRT,Asia Pacific,Tokyo,84,10.28
8.222.222.64,2052,2052,false,SIN,Asia Pacific,Singapore,17,10.28
47.245.37.41,2095,2095,false,NRT,Asia Pacific,Tokyo,104,10.28
47.74.23.99,8443,8443,true,NRT,Asia Pacific,Tokyo,111,10.27
8.219.250.239,2095,2095,false,SIN,Asia Pacific,Singapore,5,10.27
8.219.173.195,2082,2082,false,SIN,Asia Pacific,Singapore,15,10.27
8.219.111.147,8080,8080,false,SIN,Asia Pacific,Singapore,11,10.27
8.218.11.90,2087,2087,true,HKG,Asia Pacific,Hong Kong,72,10.27
8.218.158.94,8443,8443,true,HKG,Asia Pacific,Hong Kong,102,10.27
8.222.227.191,2082,2082,false,SIN,Asia Pacific,Singapore,9,10.27
47.236.97.90,2095,2095,false,SIN,Asia Pacific,Singapore,37,10.27
47.245.33.158,2082,2082,false,NRT,Asia Pacific,Tokyo,76,10.27
8.219.121.24,8443,8443,true,SIN,Asia Pacific,Singapore,112,10.26
8.219.101.138,2086,2086,false,SIN,Asia Pacific,Singapore,4,10.25
8.219.60.54,2086,2086,false,SIN,Asia Pacific,Singapore,6,10.25
47.245.30.65,2083,2083,true,NRT,Asia Pacific,Tokyo,75,10.25
8.222.254.91,80,80,false,SIN,Asia Pacific,Singapore,4,10.25
47.74.46.84,2083,2083,true,NRT,Asia Pacific,Tokyo,198,10.24
8.219.154.107,2052,2052,false,SIN,Asia Pacific,Singapore,5,10.24
8.219.222.8,2083,2083,true,SIN,Asia Pacific,Singapore,7,10.24
8.218.149.193,80,80,false,HKG,Asia Pacific,Hong Kong,40,10.24
47.91.29.108,80,80,false,NRT,Asia Pacific,Tokyo,101,10.23
8.219.215.214,2053,2053,true,SIN,Asia Pacific,Singapore,103,10.23
47.245.15.207,2087,2087,true,NRT,Asia Pacific,Tokyo,119,10.23
47.74.27.211,2095,2095,false,NRT,Asia Pacific,Tokyo,90,10.23
8.219.253.18,8443,8443,true,SIN,Asia Pacific,Singapore,103,10.23
47.236.83.196,2082,2082,false,SIN,Asia Pacific,Singapore,17,10.23
8.219.145.245,80,80,false,SIN,Asia Pacific,Singapore,21,10.22
8.222.145.110,2083,2083,true,SIN,Asia Pacific,Singapore,78,10.22
47.245.10.164,2082,2082,false,NRT,Asia Pacific,Tokyo,79,10.21
47.245.11.118,2082,2082,false,NRT,Asia Pacific,Tokyo,94,10.20
8.209.243.99,2083,2083,true,NRT,Asia Pacific,Tokyo,107,10.20
8.219.206.180,2086,2086,false,SIN,Asia Pacific,Singapore,6,10.20
8.222.238.141,8080,8080,false,SIN,Asia Pacific,Singapore,22,10.20
47.236.99.131,2053,2053,true,SIN,Asia Pacific,Singapore,93,10.19
8.219.112.75,2082,2082,false,SIN,Asia Pacific,Singapore,16,10.19
8.219.126.3,8880,8880,false,SIN,Asia Pacific,Singapore,18,10.19
8.219.173.195,2082,2082,false,SIN,Asia Pacific,Singapore,13,10.19
47.245.55.94,8443,8443,true,NRT,Asia Pacific,Tokyo,75,10.18
8.218.105.223,2052,2052,false,HKG,Asia Pacific,Hong Kong,33,10.18
47.245.39.49,8080,8080,false,HKG,Asia Pacific,Hong Kong,170,10.18
47.236.7.206,2083,2083,true,SIN,Asia Pacific,Singapore,78,10.17
8.222.187.107,8080,8080,false,SIN,Asia Pacific,Singapore,37,10.17
8.219.87.34,2083,2083,true,SIN,Asia Pacific,Singapore,60,10.17
47.74.26.196,2086,2086,false,HKG,Asia Pacific,Hong Kong,176,10.17
47.236.7.246,2053,2053,true,SIN,Asia Pacific,Singapore,81,10.17
8.219.213.112,8880,8880,false,SIN,Asia Pacific,Singapore,33,10.17
47.74.13.239,2082,2082,false,NRT,Asia Pacific,Tokyo,75,10.17
47.74.27.151,8080,8080,false,NRT,Asia Pacific,Tokyo,90,10.17
47.74.7.11,2052,2052,false,NRT,Asia Pacific,Tokyo,101,10.17
8.219.106.15,2052,2052,false,SIN,Asia Pacific,Singapore,4,10.16
8.219.154.107,2082,2082,false,SIN,Asia Pacific,Singapore,8,10.16
47.74.3.2,2083,2083,true,NRT,Asia Pacific,Tokyo,228,10.16
8.219.140.63,80,80,false,SIN,Asia Pacific,Singapore,5,10.15
47.74.27.211,2086,2086,false,NRT,Asia Pacific,Tokyo,103,10.15
8.219.222.8,2053,2053,true,SIN,Asia Pacific,Singapore,39,10.15
8.219.170.180,2087,2087,true,SIN,Asia Pacific,Singapore,69,10.15
8.209.243.137,2087,2087,true,NRT,Asia Pacific,Tokyo,130,10.15
47.74.27.211,80,80,false,NRT,Asia Pacific,Tokyo,73,10.15
47.88.15.127,443,443,true,SJC,North America,San Jose,175,10.15
8.219.61.52,2096,2096,true,SIN,Asia Pacific,Singapore,63,10.15
47.245.37.94,8080,8080,false,NRT,Asia Pacific,Tokyo,88,10.15
47.91.29.108,8443,8443,true,NRT,Asia Pacific,Tokyo,123,10.14
8.219.213.112,8080,8080,false,SIN,Asia Pacific,Singapore,101,10.14
47.74.16.67,80,80,false,NRT,Asia Pacific,Tokyo,74,10.14
47.74.3.2,2053,2053,true,NRT,Asia Pacific,Tokyo,161,10.14
47.74.7.51,2052,2052,false,NRT,Asia Pacific,Tokyo,78,10.13
47.245.40.55,2087,2087,true,HKG,Asia Pacific,Hong Kong,292,10.13
8.219.210.226,2087,2087,true,SIN,Asia Pacific,Singapore,89,10.13
47.91.17.102,2083,2083,true,NRT,Asia Pacific,Tokyo,105,10.13
8.219.122.96,2053,2053,true,SIN,Asia Pacific,Singapore,96,10.13
8.219.193.22,2087,2087,true,SIN,Asia Pacific,Singapore,72,10.13
47.74.0.183,2083,2083,true,NRT,Asia Pacific,Tokyo,171,10.12
47.74.26.132,2083,2083,true,NRT,Asia Pacific,Tokyo,219,10.12
47.236.83.196,2052,2052,false,SIN,Asia Pacific,Singapore,10,10.12
47.74.46.84,2095,2095,false,NRT,Asia Pacific,Tokyo,88,10.12
8.219.194.170,2053,2053,true,SIN,Asia Pacific,Singapore,101,10.11
47.245.37.12,2096,2096,true,NRT,Asia Pacific,Tokyo,224,10.11
47.74.49.121,80,80,false,NRT,Asia Pacific,Tokyo,86,10.11
47.245.58.175,2096,2096,true,NRT,Asia Pacific,Tokyo,103,10.11
8.219.74.35,2053,2053,true,SIN,Asia Pacific,Singapore,64,10.11
8.219.40.255,8880,8880,false,SIN,Asia Pacific,Singapore,13,10.10
47.245.37.41,2096,2096,true,NRT,Asia Pacific,Tokyo,112,10.10
47.245.10.156,2083,2083,true,NRT,Asia Pacific,Tokyo,79,10.10
8.219.199.220,8080,8080,false,SIN,Asia Pacific,Singapore,19,10.09
47.245.39.28,2095,2095,false,NRT,Asia Pacific,Tokyo,99,10.09
47.74.43.24,2095,2095,false,NRT,Asia Pacific,Tokyo,94,10.09
47.74.40.13,80,80,false,NRT,Asia Pacific,Tokyo,70,10.08
8.222.219.34,8443,8443,true,SIN,Asia Pacific,Singapore,94,10.08
47.74.34.135,2096,2096,true,NRT,Asia Pacific,Tokyo,216,10.08
8.219.145.245,2083,2083,true,SIN,Asia Pacific,Singapore,46,10.08
47.74.36.154,8443,8443,true,NRT,Asia Pacific,Tokyo,173,10.07
8.219.145.245,2095,2095,false,SIN,Asia Pacific,Singapore,4,10.07
8.218.48.92,8080,8080,false,HKG,Asia Pacific,Hong Kong,193,10.07
47.74.4.47,2052,2052,false,NRT,Asia Pacific,Tokyo,76,10.07
47.74.5.233,80,80,false,NRT,Asia Pacific,Tokyo,78,10.07
8.219.60.68,8080,8080,false,SIN,Asia Pacific,Singapore,3,10.07
8.219.77.222,2087,2087,true,SIN,Asia Pacific,Singapore,104,10.07
8.219.237.250,2087,2087,true,SIN,Asia Pacific,Singapore,16,10.07
8.222.138.164,2096,2096,true,SIN,Asia Pacific,Singapore,71,10.06
8.219.248.47,2082,2082,false,SIN,Asia Pacific,Singapore,6,10.06
8.222.159.252,2052,2052,false,SIN,Asia Pacific,Singapore,17,10.06
8.219.75.44,2095,2095,false,SIN,Asia Pacific,Singapore,20,10.05
47.242.54.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,68,10.05
8.219.198.34,2053,2053,true,SIN,Asia Pacific,Singapore,138,10.05
47.74.15.120,2052,2052,false,NRT,Asia Pacific,Tokyo,89,10.04
47.74.52.188,2087,2087,true,NRT,Asia Pacific,Tokyo,245,10.04
47.245.52.240,2053,2053,true,NRT,Asia Pacific,Tokyo,141,10.04
47.74.54.145,2096,2096,true,NRT,Asia Pacific,Tokyo,167,10.04
8.222.224.162,8443,8443,true,SIN,Asia Pacific,Singapore,64,10.04
47.74.34.73,2083,2083,true,NRT,Asia Pacific,Tokyo,227,10.04
8.219.92.89,8880,0,false,SIN,Asia Pacific,Singapore,11,10.04
8.219.159.232,2096,2096,true,SIN,Asia Pacific,Singapore,72,10.04
8.222.160.61,2083,2083,true,SIN,Asia Pacific,Singapore,34,10.04
8.219.213.133,8443,8443,true,SIN,Asia Pacific,Singapore,72,10.04
47.245.13.93,2095,2095,false,NRT,Asia Pacific,Tokyo,74,10.03
47.74.5.233,2082,2082,false,NRT,Asia Pacific,Tokyo,78,10.03
8.219.174.142,2052,2052,false,SIN,Asia Pacific,Singapore,12,10.03
8.218.204.128,2095,2095,false,HKG,Asia Pacific,Hong Kong,39,10.03
8.219.6.157,8880,8880,false,SIN,Asia Pacific,Singapore,12,10.02
47.74.23.99,2087,2087,true,NRT,Asia Pacific,Tokyo,112,10.02
47.74.34.135,2082,2082,false,NRT,Asia Pacific,Tokyo,85,10.02
47.245.57.38,2087,2087,true,HKG,Asia Pacific,Hong Kong,251,10.01
47.74.26.131,2083,2083,true,NRT,Asia Pacific,Tokyo,166,10.01
8.219.247.203,2052,2052,false,SIN,Asia Pacific,Singapore,10,10.01
8.219.204.120,2095,2095,false,SIN,Asia Pacific,Singapore,10,10.01
47.236.7.13,80,80,false,SIN,Asia Pacific,Singapore,14,10.01
47.91.21.127,2096,2096,true,NRT,Asia Pacific,Tokyo,119,10.01
47.245.40.161,2083,2083,true,NRT,Asia Pacific,Tokyo,145,10.01
8.219.126.240,443,443,true,SIN,Asia Pacific,Singapore,65,10.01
8.219.142.229,8880,8880,false,SIN,Asia Pacific,Singapore,10,10.01
8.219.73.21,2086,2086,false,SIN,Asia Pacific,Singapore,4,10.01
47.245.37.29,2095,2095,false,NRT,Asia Pacific,Tokyo,73,10.01
8.219.240.160,80,80,false,SIN,Asia Pacific,Singapore,18,10.01
47.245.108.213,443,443,true,SIN,Asia Pacific,Singapore,38,10.00
8.219.50.180,8443,8443,true,SIN,Asia Pacific,Singapore,134,10.00
47.74.49.121,8880,8880,false,NRT,Asia Pacific,Tokyo,73,10.00
8.219.204.120,2086,2086,false,SIN,Asia Pacific,Singapore,19,9.99
8.219.0.162,2086,2086,false,SIN,Asia Pacific,Singapore,30,9.99
47.74.5.150,2082,2082,false,NRT,Asia Pacific,Tokyo,81,9.98
8.219.238.145,443,443,true,SIN,Asia Pacific,Singapore,182,9.98
47.245.33.163,8080,8080,false,NRT,Asia Pacific,Tokyo,77,9.98
47.245.11.216,2087,2087,true,NRT,Asia Pacific,Tokyo,75,9.98
47.74.27.211,2083,2083,true,NRT,Asia Pacific,Tokyo,193,9.97
8.219.66.156,2087,2087,true,SIN,Asia Pacific,Singapore,61,9.97
8.222.236.229,2096,2096,true,SIN,Asia Pacific,Singapore,101,9.97
8.219.114.201,8443,8443,true,SIN,Asia Pacific,Singapore,111,9.97
47.91.29.108,2052,2052,false,NRT,Asia Pacific,Tokyo,83,9.97
47.88.15.127,443,443,true,SJC,North America,San Jose,179,9.97
8.222.224.163,80,80,false,SIN,Asia Pacific,Singapore,43,9.97
