IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
140.238.54.164,2052,2052,false,NRT,Asia Pacific,Tokyo,95,11.56
158.101.146.165,8080,8080,false,NRT,Asia Pacific,Tokyo,78,11.56
140.238.46.138,80,80,false,NRT,Asia Pacific,Tokyo,104,11.55
131.186.37.49,8443,8443,true,NRT,Asia Pacific,Tokyo,110,11.55
141.148.239.173,443,443,true,FRA,Europe,Frankfurt,175,11.54
158.101.146.203,2082,2082,false,NRT,Asia Pacific,Tokyo,99,11.54
130.162.52.245,443,443,true,FRA,Europe,Frankfurt,170,11.53
158.101.149.71,2095,2095,false,NRT,Asia Pacific,Tokyo,99,11.53
140.238.39.33,2053,2053,true,NRT,Asia Pacific,Tokyo,171,11.53
140.238.54.166,2053,2053,true,NRT,Asia Pacific,Tokyo,102,11.53
140.238.59.255,2053,2053,true,NRT,Asia Pacific,Tokyo,105,11.52
140.238.50.99,2052,2052,false,NRT,Asia Pacific,Tokyo,104,11.52
168.138.212.184,2086,2086,false,NRT,Asia Pacific,Tokyo,76,11.51
151.145.71.127,2083,2083,true,NRT,Asia Pacific,Tokyo,102,11.51
150.230.97.239,8880,8880,false,NRT,Asia Pacific,Tokyo,101,11.51
141.147.178.115,2082,2082,false,NRT,Asia Pacific,Tokyo,99,11.51
131.186.34.11,2053,2053,true,NRT,Asia Pacific,Tokyo,95,11.51
141.147.182.70,2052,2052,false,NRT,Asia Pacific,Tokyo,100,11.51
150.230.219.168,2082,2082,false,NRT,Asia Pacific,Tokyo,98,11.51
150.230.216.117,2095,2095,false,NRT,Asia Pacific,Tokyo,99,11.50
158.178.242.207,8443,443,true,SIN,Asia Pacific,Singapore,69,11.49
158.101.140.255,80,80,false,NRT,Asia Pacific,Tokyo,87,11.49
130.162.245.69,443,443,true,FRA,Europe,Frankfurt,169,11.49
89.168.125.168,443,443,true,FRA,Europe,Frankfurt,167,11.48
131.186.37.69,2087,2087,true,NRT,Asia Pacific,Tokyo,79,11.48
150.230.104.197,80,80,false,NRT,Asia Pacific,Tokyo,108,11.48
140.238.54.166,2086,2086,false,NRT,Asia Pacific,Tokyo,96,11.47
140.238.32.238,2087,2087,true,NRT,Asia Pacific,Tokyo,159,11.46
131.186.37.69,2083,2083,true,NRT,Asia Pacific,Tokyo,96,11.45
168.138.207.64,80,80,false,NRT,Asia Pacific,Tokyo,76,11.45
140.238.32.184,2086,2086,false,NRT,Asia Pacific,Tokyo,101,11.44
158.179.188.159,2082,2082,false,NRT,Asia Pacific,Tokyo,106,11.44
158.101.149.81,2096,2096,true,NRT,Asia Pacific,Tokyo,115,11.44
138.2.25.122,8880,8880,false,NRT,Asia Pacific,Tokyo,100,11.43
141.148.226.117,443,443,true,FRA,Europe,Frankfurt,175,11.43
141.147.160.86,8880,8880,false,NRT,Asia Pacific,Tokyo,105,11.42
158.101.149.52,2087,2087,true,NRT,Asia Pacific,Tokyo,95,11.42
131.186.38.135,8880,8880,false,NRT,Asia Pacific,Tokyo,99,11.41
141.147.181.148,2083,2083,true,NRT,Asia Pacific,Tokyo,104,11.41
150.230.107.197,8880,8880,false,NRT,Asia Pacific,Tokyo,96,11.40
168.138.202.145,2082,2082,false,NRT,Asia Pacific,Tokyo,99,11.40
151.145.70.28,2082,2082,false,NRT,Asia Pacific,Tokyo,96,11.40
158.101.159.181,2087,2087,true,NRT,Asia Pacific,Tokyo,79,11.38
151.145.69.174,2086,2086,false,NRT,Asia Pacific,Tokyo,110,11.38
168.138.215.188,2052,2052,false,NRT,Asia Pacific,Tokyo,81,11.37
158.101.158.251,2086,2086,false,NRT,Asia Pacific,Tokyo,76,11.37
158.179.180.233,8080,8080,false,NRT,Asia Pacific,Tokyo,77,11.36
141.147.61.116,8443,443,true,FRA,Europe,Frankfurt,180,11.35
168.138.200.159,8880,8880,false,NRT,Asia Pacific,Tokyo,99,11.35
141.147.189.242,2082,2082,false,NRT,Asia Pacific,Tokyo,93,11.34
150.230.221.114,2095,2095,false,NRT,Asia Pacific,Tokyo,110,11.34
150.230.104.197,2082,2082,false,NRT,Asia Pacific,Tokyo,77,11.34
158.101.142.103,8880,8880,false,NRT,Asia Pacific,Tokyo,107,11.33
143.47.251.187,443,443,true,FRA,Europe,Frankfurt,177,11.33
168.138.212.184,2052,2052,false,NRT,Asia Pacific,Tokyo,109,11.32
138.2.6.15,8443,8443,true,NRT,Asia Pacific,Tokyo,127,11.32
158.101.149.122,2083,2083,true,NRT,Asia Pacific,Tokyo,122,11.31
150.230.106.21,2082,2082,false,NRT,Asia Pacific,Tokyo,96,11.30
168.138.217.146,8880,8880,false,NRT,Asia Pacific,Tokyo,101,11.30
158.179.180.233,80,80,false,NRT,Asia Pacific,Tokyo,78,11.29
158.101.152.221,80,80,false,NRT,Asia Pacific,Tokyo,98,11.29
150.230.109.138,2082,2082,false,NRT,Asia Pacific,Tokyo,108,11.29
140.238.38.245,2052,2052,false,NRT,Asia Pacific,Tokyo,98,11.28
168.138.206.68,8080,8080,false,NRT,Asia Pacific,Tokyo,107,11.28
158.178.155.7,443,443,true,FRA,Europe,Frankfurt,178,11.26
141.148.225.141,443,443,true,CDG,Europe,Paris,216,11.26
138.2.137.201,443,443,true,FRA,Europe,Frankfurt,240,11.25
84.235.168.190,443,443,true,FRA,Europe,Frankfurt,227,11.25
158.179.178.142,2095,2095,false,NRT,Asia Pacific,Tokyo,96,11.24
168.138.212.74,2095,2095,false,NRT,Asia Pacific,Tokyo,108,11.24
138.2.13.133,2086,2086,false,NRT,Asia Pacific,Tokyo,102,11.24
150.230.207.53,2052,2052,false,NRT,Asia Pacific,Tokyo,96,11.24
193.122.9.188,443,443,true,FRA,Europe,Frankfurt,165,11.24
168.138.214.62,2095,2095,false,NRT,Asia Pacific,Tokyo,92,11.23
150.230.212.87,2052,2052,false,NRT,Asia Pacific,Tokyo,100,11.23
141.147.167.40,2096,2096,true,NRT,Asia Pacific,Tokyo,113,11.23
168.138.212.40,8880,8880,false,NRT,Asia Pacific,Tokyo,84,11.23
84.235.161.207,443,443,true,CDG,Europe,Paris,205,11.22
140.238.44.118,8443,8443,true,NRT,Asia Pacific,Tokyo,116,11.22
140.238.59.255,8880,8880,false,NRT,Asia Pacific,Tokyo,94,11.22
158.101.150.74,8880,8880,false,NRT,Asia Pacific,Tokyo,87,11.21
141.147.164.153,2053,2053,true,NRT,Asia Pacific,Tokyo,121,11.21
150.230.108.135,2083,2083,true,NRT,Asia Pacific,Tokyo,88,11.21
143.47.253.224,443,443,true,FRA,Europe,Frankfurt,197,11.20
144.21.48.96,443,443,true,FRA,Europe,Frankfurt,182,11.20
168.138.212.175,8880,8880,false,NRT,Asia Pacific,Tokyo,81,11.19
158.179.178.145,2052,2052,false,NRT,Asia Pacific,Tokyo,108,11.19
129.159.206.23,443,443,true,FRA,Europe,Frankfurt,184,11.19
168.138.194.121,8080,8080,false,NRT,Asia Pacific,Tokyo,96,11.19
131.186.34.244,2087,2087,true,NRT,Asia Pacific,Tokyo,74,11.19
141.144.193.206,443,443,true,FRA,Europe,Frankfurt,193,11.18
158.179.176.239,8880,8880,false,NRT,Asia Pacific,Tokyo,109,11.18
143.47.189.159,443,443,true,FRA,Europe,Frankfurt,191,11.18
141.147.174.190,2053,2053,true,NRT,Asia Pacific,Tokyo,98,11.18
138.2.12.32,2087,2087,true,NRT,Asia Pacific,Tokyo,115,11.18
140.238.40.136,2087,2087,true,NRT,Asia Pacific,Tokyo,99,11.17
158.178.144.68,443,443,true,FRA,Europe,Frankfurt,185,11.17
141.148.241.117,443,443,true,IAD,North America,Ashburn,170,11.16
140.238.41.253,2052,2052,false,NRT,Asia Pacific,Tokyo,107,11.16
140.238.46.138,2053,2053,true,NRT,Asia Pacific,Tokyo,163,11.15
158.179.186.138,2083,2083,true,NRT,Asia Pacific,Tokyo,158,11.15
158.101.145.246,8443,8443,true,NRT,Asia Pacific,Tokyo,106,11.13
158.101.149.52,2053,2053,true,NRT,Asia Pacific,Tokyo,109,11.13
140.238.48.97,2053,2053,true,NRT,Asia Pacific,Tokyo,138,11.13
138.2.12.32,8443,8443,true,NRT,Asia Pacific,Tokyo,115,11.13
168.138.194.121,8880,8880,false,NRT,Asia Pacific,Tokyo,88,11.13
150.230.104.197,2086,2086,false,NRT,Asia Pacific,Tokyo,97,11.12
138.2.7.72,2096,2096,true,NRT,Asia Pacific,Tokyo,113,11.11
158.101.146.160,2053,2053,true,NRT,Asia Pacific,Tokyo,116,11.11
141.147.191.132,2086,2086,false,NRT,Asia Pacific,Tokyo,77,11.11
158.179.186.138,2082,2082,false,NRT,Asia Pacific,Tokyo,77,11.11
158.101.159.212,2052,2052,false,NRT,Asia Pacific,Tokyo,104,11.10
150.230.104.197,2053,2053,true,NRT,Asia Pacific,Tokyo,111,11.10
141.147.91.179,443,443,true,FRA,Europe,Frankfurt,175,11.09
140.238.54.149,2095,2095,false,NRT,Asia Pacific,Tokyo,101,11.09
168.138.200.159,2095,2095,false,NRT,Asia Pacific,Tokyo,97,11.09
131.186.37.49,2083,2083,true,NRT,Asia Pacific,Tokyo,81,11.08
168.138.195.31,2083,2083,true,NRT,Asia Pacific,Tokyo,93,11.07
141.147.168.159,2053,2053,true,NRT,Asia Pacific,Tokyo,107,11.07
130.162.63.126,443,443,true,FRA,Europe,Frankfurt,213,11.06
141.148.233.125,443,443,true,FRA,Europe,Frankfurt,198,11.05
141.147.164.153,8443,8443,true,NRT,Asia Pacific,Tokyo,97,11.05
158.179.183.2,8080,8080,false,NRT,Asia Pacific,Tokyo,102,11.05
151.145.69.174,80,80,false,NRT,Asia Pacific,Tokyo,88,11.04
158.101.144.34,2083,2083,true,NRT,Asia Pacific,Tokyo,112,11.03
130.162.173.186,443,443,true,FRA,Europe,Frankfurt,175,11.03
141.144.206.239,443,443,true,CDG,Europe,Paris,176,11.03
130.162.237.133,443,443,true,FRA,Europe,Frankfurt,167,11.02
138.2.14.164,2095,2095,false,NRT,Asia Pacific,Tokyo,99,11.02
158.101.149.81,2053,2053,true,NRT,Asia Pacific,Tokyo,121,11.02
150.230.105.53,80,80,false,NRT,Asia Pacific,Tokyo,106,11.02
150.230.108.135,2086,2086,false,NRT,Asia Pacific,Tokyo,84,11.02
168.138.209.244,2052,2052,false,NRT,Asia Pacific,Tokyo,113,11.02
168.138.198.53,8080,8080,false,NRT,Asia Pacific,Tokyo,102,11.02
150.230.109.252,2053,2053,true,NRT,Asia Pacific,Tokyo,129,11.01
141.147.85.98,443,443,true,EWR,North America,Newark,199,11.01
158.101.146.160,8880,8880,false,NRT,Asia Pacific,Tokyo,79,10.99
168.138.200.159,2083,2083,true,NRT,Asia Pacific,Tokyo,88,10.98
140.238.44.118,2052,2052,false,NRT,Asia Pacific,Tokyo,105,10.97
140.238.39.87,2096,2096,true,NRT,Asia Pacific,Tokyo,103,10.97
89.168.83.171,443,443,true,FRA,Europe,Frankfurt,179,10.97
152.67.143.111,443,443,true,FRA,Europe,Frankfurt,202,10.96
140.238.41.253,2086,2086,false,NRT,Asia Pacific,Tokyo,102,10.96
150.230.109.138,2095,2095,false,NRT,Asia Pacific,Tokyo,94,10.96
141.147.90.139,443,443,true,FRA,Europe,Frankfurt,185,10.96
140.238.51.89,2087,2087,true,NRT,Asia Pacific,Tokyo,139,10.96
141.147.119.56,443,443,true,AMS,Europe,Amsterdam,178,10.95
138.2.14.164,2087,2087,true,NRT,Asia Pacific,Tokyo,146,10.95
168.138.202.145,2096,2096,true,NRT,Asia Pacific,Tokyo,98,10.95
140.238.41.253,2095,2095,false,NRT,Asia Pacific,Tokyo,104,10.95
168.138.198.53,8080,8080,false,NRT,Asia Pacific,Tokyo,97,10.94
140.238.32.184,8443,8443,true,NRT,Asia Pacific,Tokyo,98,10.94
141.147.174.190,2083,2083,true,NRT,Asia Pacific,Tokyo,119,10.94
141.147.162.204,2087,2087,true,NRT,Asia Pacific,Tokyo,111,10.94
158.101.154.70,2086,2086,false,NRT,Asia Pacific,Tokyo,76,10.94
168.138.194.121,2086,2086,false,NRT,Asia Pacific,Tokyo,113,10.94
140.238.35.138,2086,2086,false,NRT,Asia Pacific,Tokyo,99,10.94
151.145.74.56,2087,2087,true,NRT,Asia Pacific,Tokyo,116,10.92
141.147.179.64,2086,2086,false,NRT,Asia Pacific,Tokyo,110,10.92
158.101.155.246,2086,2086,false,NRT,Asia Pacific,Tokyo,98,10.92
138.2.25.122,2087,2087,true,NRT,Asia Pacific,Tokyo,102,10.92
150.230.109.252,80,80,false,NRT,Asia Pacific,Tokyo,105,10.92
141.144.205.222,443,443,true,FRA,Europe,Frankfurt,172,10.91
150.230.214.218,8080,8080,false,NRT,Asia Pacific,Tokyo,101,10.91
168.138.207.64,2082,2082,false,NRT,Asia Pacific,Tokyo,78,10.91
150.230.101.13,2087,2087,true,NRT,Asia Pacific,Tokyo,112,10.90
141.147.114.96,443,443,true,EWR,North America,Newark,176,10.90
150.230.221.219,8880,8880,false,NRT,Asia Pacific,Tokyo,86,10.89
143.47.191.103,443,443,true,FRA,Europe,Frankfurt,192,10.89
141.147.97.178,443,443,true,FRA,Europe,Frankfurt,188,10.89
168.138.196.164,2095,2095,false,HKG,Asia Pacific,Hong Kong,159,10.88
131.186.35.189,2087,2087,true,NRT,Asia Pacific,Tokyo,113,10.88
168.138.212.40,2086,2086,false,NRT,Asia Pacific,Tokyo,111,10.88
141.147.100.142,443,443,true,CDG,Europe,Paris,173,10.88
138.2.10.251,80,80,false,NRT,Asia Pacific,Tokyo,74,10.88
150.230.105.53,8880,8880,false,NRT,Asia Pacific,Tokyo,81,10.88
158.101.152.221,8080,8080,false,NRT,Asia Pacific,Tokyo,99,10.88
151.145.74.56,2086,2086,false,NRT,Asia Pacific,Tokyo,119,10.87
141.147.164.153,2096,2096,true,NRT,Asia Pacific,Tokyo,98,10.86
141.147.166.189,2086,2086,false,NRT,Asia Pacific,Tokyo,98,10.86
141.147.91.224,443,443,true,FRA,Europe,Frankfurt,180,10.86
158.101.149.71,2053,2053,true,NRT,Asia Pacific,Tokyo,141,10.85
151.145.71.127,2095,2095,false,NRT,Asia Pacific,Tokyo,106,10.85
141.147.30.52,443,443,true,CDG,Europe,Paris,167,10.85
141.148.225.220,443,443,true,FRA,Europe,Frankfurt,195,10.85
158.179.186.138,2096,2096,true,NRT,Asia Pacific,Tokyo,106,10.84
143.47.180.153,443,443,true,FRA,Europe,Frankfurt,192,10.83
141.147.97.5,443,443,true,CDG,Europe,Paris,177,10.82
140.238.54.164,8080,8080,false,NRT,Asia Pacific,Tokyo,101,10.82
150.230.219.168,80,80,false,NRT,Asia Pacific,Tokyo,100,10.82
141.147.84.193,443,443,true,AMS,Europe,Amsterdam,228,10.82
168.138.212.74,8880,8880,false,NRT,Asia Pacific,Tokyo,100,10.82
140.238.54.166,2096,2096,true,NRT,Asia Pacific,Tokyo,137,10.81
150.230.212.87,80,80,false,NRT,Asia Pacific,Tokyo,86,10.81
150.230.109.138,8880,8880,false,NRT,Asia Pacific,Tokyo,101,10.80
168.138.215.188,80,80,false,NRT,Asia Pacific,Tokyo,97,10.80
150.230.207.53,8443,8443,true,NRT,Asia Pacific,Tokyo,118,10.80
151.145.64.170,2086,2086,false,NRT,Asia Pacific,Tokyo,106,10.79
158.101.158.251,2052,2052,false,NRT,Asia Pacific,Tokyo,99,10.79
151.145.75.28,2082,2082,false,NRT,Asia Pacific,Tokyo,102,10.79
141.147.164.54,2052,2052,false,NRT,Asia Pacific,Tokyo,75,10.78
158.101.150.74,2052,2052,false,NRT,Asia Pacific,Tokyo,97,10.78
141.147.174.7,80,80,false,NRT,Asia Pacific,Tokyo,105,10.78
140.238.34.208,2082,2082,false,NRT,Asia Pacific,Tokyo,99,10.77
150.230.109.138,80,80,false,NRT,Asia Pacific,Tokyo,74,10.77
158.101.143.49,2086,2086,false,NRT,Asia Pacific,Tokyo,98,10.77
140.238.54.182,8080,8080,false,NRT,Asia Pacific,Tokyo,97,10.77
141.147.167.44,8443,8443,true,NRT,Asia Pacific,Tokyo,97,10.77
152.67.139.17,443,443,true,FRA,Europe,Frankfurt,195,10.76
158.101.149.81,2082,2082,false,NRT,Asia Pacific,Tokyo,101,10.75
151.145.66.219,8443,8443,true,NRT,Asia Pacific,Tokyo,111,10.75
158.101.150.74,80,80,false,NRT,Asia Pacific,Tokyo,98,10.75
140.238.33.165,8080,8080,false,NRT,Asia Pacific,Tokyo,81,10.74
140.238.41.167,80,80,false,NRT,Asia Pacific,Tokyo,97,10.74
140.238.41.167,2087,2087,true,NRT,Asia Pacific,Tokyo,138,10.73
151.145.75.28,2086,2086,false,NRT,Asia Pacific,Tokyo,113,10.73
140.238.50.99,2082,2082,false,NRT,Asia Pacific,Tokyo,98,10.73
150.230.219.168,2052,2052,false,NRT,Asia Pacific,Tokyo,85,10.73
158.101.150.126,8080,8080,false,NRT,Asia Pacific,Tokyo,98,10.72
144.21.34.74,443,443,true,EWR,North America,Newark,183,10.71
141.147.178.115,8080,8080,false,NRT,Asia Pacific,Tokyo,77,10.70
140.238.41.253,8880,8880,false,NRT,Asia Pacific,Tokyo,90,10.70
141.147.169.131,8443,8443,true,NRT,Asia Pacific,Tokyo,98,10.70
138.2.0.217,80,80,false,NRT,Asia Pacific,Tokyo,97,10.70
168.138.207.64,8443,8443,true,NRT,Asia Pacific,Tokyo,97,10.69
168.138.200.155,2082,2082,false,NRT,Asia Pacific,Tokyo,95,10.69
168.138.206.236,8443,8443,true,NRT,Asia Pacific,Tokyo,102,10.68
141.147.167.40,8443,8443,true,NRT,Asia Pacific,Tokyo,79,10.67
158.179.182.19,2053,2053,true,NRT,Asia Pacific,Tokyo,97,10.66
150.230.101.125,2096,2096,true,NRT,Asia Pacific,Tokyo,110,10.66
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,166,10.65
141.147.178.115,2095,2095,false,NRT,Asia Pacific,Tokyo,100,10.65
168.138.217.146,2086,2086,false,NRT,Asia Pacific,Tokyo,100,10.64
168.138.212.184,80,80,false,NRT,Asia Pacific,Tokyo,98,10.64
141.147.178.202,8880,8880,false,NRT,Asia Pacific,Tokyo,103,10.64
168.138.195.31,8880,8880,false,NRT,Asia Pacific,Tokyo,91,10.63
144.21.33.143,443,443,true,FRA,Europe,Frankfurt,175,10.63
151.145.65.203,2087,2087,true,NRT,Asia Pacific,Tokyo,103,10.61
141.147.178.202,2095,2095,false,NRT,Asia Pacific,Tokyo,78,10.61
130.162.189.129,443,443,true,FRA,Europe,Frankfurt,176,10.61
131.186.37.69,8443,8443,true,NRT,Asia Pacific,Tokyo,113,10.61
140.238.39.33,80,80,false,NRT,Asia Pacific,Tokyo,102,10.60
89.168.79.41,443,443,true,FRA,Europe,Frankfurt,171,10.60
131.186.34.11,8443,8443,true,NRT,Asia Pacific,Tokyo,75,10.60
168.138.206.68,2086,2086,false,NRT,Asia Pacific,Tokyo,79,10.60
158.179.188.175,8880,8880,false,NRT,Asia Pacific,Tokyo,114,10.60
144.24.85.158,443,443,true,ICN,Asia Pacific,Seoul,81,10.59
140.238.32.238,2082,2082,false,NRT,Asia Pacific,Tokyo,112,10.59
132.145.226.82,443,443,true,CDG,Europe,Paris,165,10.59
158.179.182.19,2082,2082,false,NRT,Asia Pacific,Tokyo,114,10.58
140.238.51.184,2087,2087,true,NRT,Asia Pacific,Tokyo,89,10.58
141.147.191.211,2087,2087,true,NRT,Asia Pacific,Tokyo,112,10.57
193.123.39.141,443,443,true,FRA,Europe,Frankfurt,254,10.57
150.230.107.197,2086,2086,false,NRT,Asia Pacific,Tokyo,105,10.57
168.138.205.38,2095,2095,false,NRT,Asia Pacific,Tokyo,96,10.56
138.2.24.114,8443,8443,true,NRT,Asia Pacific,Tokyo,128,10.56
158.101.142.103,2087,2087,true,NRT,Asia Pacific,Tokyo,98,10.56
140.238.54.182,2096,2096,true,NRT,Asia Pacific,Tokyo,133,10.53
130.162.191.2,443,443,true,FRA,Europe,Frankfurt,172,10.52
140.238.50.99,80,80,false,NRT,Asia Pacific,Tokyo,80,10.52
143.47.243.239,443,443,true,FRA,Europe,Frankfurt,205,10.52
150.230.208.83,8080,8080,false,NRT,Asia Pacific,Tokyo,116,10.51
168.138.213.210,2086,2086,false,NRT,Asia Pacific,Tokyo,102,10.50
158.101.150.126,2087,2087,true,NRT,Asia Pacific,Tokyo,123,10.49
193.123.39.235,443,443,true,FRA,Europe,Frankfurt,177,10.49
140.238.44.118,2086,2086,false,NRT,Asia Pacific,Tokyo,97,10.49
168.138.206.236,2083,2083,true,NRT,Asia Pacific,Tokyo,97,10.48
150.230.106.21,8080,8080,false,NRT,Asia Pacific,Tokyo,99,10.47
150.230.221.219,2086,2086,false,NRT,Asia Pacific,Tokyo,85,10.46
158.101.145.246,2053,2053,true,NRT,Asia Pacific,Tokyo,118,10.45
140.238.48.97,2083,2083,true,NRT,Asia Pacific,Tokyo,168,10.45
158.101.146.203,8443,8443,true,NRT,Asia Pacific,Tokyo,107,10.45
150.230.101.13,2096,2096,true,NRT,Asia Pacific,Tokyo,97,10.44
138.2.15.8,2052,2052,false,NRT,Asia Pacific,Tokyo,79,10.44
158.101.142.103,2053,2053,true,NRT,Asia Pacific,Tokyo,124,10.44
158.178.159.40,443,443,true,FRA,Europe,Frankfurt,174,10.44
143.47.235.87,443,443,true,FRA,Europe,Frankfurt,175,10.44
138.2.15.8,2082,2082,false,NRT,Asia Pacific,Tokyo,78,10.43
140.238.34.208,2096,2096,true,NRT,Asia Pacific,Tokyo,98,10.43
158.178.147.11,443,443,true,AMS,Europe,Amsterdam,172,10.43
138.2.6.15,2053,2053,true,NRT,Asia Pacific,Tokyo,143,10.43
138.2.29.250,2096,2096,true,NRT,Asia Pacific,Tokyo,145,10.43
141.148.243.43,443,443,true,FRA,Europe,Frankfurt,183,10.42
141.147.191.132,2083,2083,true,NRT,Asia Pacific,Tokyo,102,10.42
150.230.222.185,2053,2053,true,NRT,Asia Pacific,Tokyo,101,10.42
150.230.213.95,8880,8880,false,NRT,Asia Pacific,Tokyo,77,10.42
140.238.48.97,8443,8443,true,NRT,Asia Pacific,Tokyo,75,10.42
168.138.205.195,8880,8880,false,NRT,Asia Pacific,Tokyo,97,10.41
150.230.108.135,2053,2053,true,NRT,Asia Pacific,Tokyo,113,10.40
168.138.192.185,2095,2095,false,NRT,Asia Pacific,Tokyo,106,10.40
168.138.198.53,2052,2052,false,NRT,Asia Pacific,Tokyo,98,10.39
158.101.150.74,2053,2053,true,NRT,Asia Pacific,Tokyo,102,10.39
141.147.90.143,443,443,true,FRA,Europe,Frankfurt,185,10.39
150.230.212.213,2083,2083,true,NRT,Asia Pacific,Tokyo,101,10.38
141.147.16.152,8443,443,true,FRA,Europe,Frankfurt,189,10.38
158.179.188.159,2087,2087,true,NRT,Asia Pacific,Tokyo,127,10.37
141.147.82.234,443,443,true,FRA,Europe,Frankfurt,160,10.37
150.230.220.232,2096,2096,true,NRT,Asia Pacific,Tokyo,119,10.37
130.162.189.213,443,443,true,FRA,Europe,Frankfurt,170,10.35
150.230.207.53,2096,2096,true,NRT,Asia Pacific,Tokyo,100,10.35
168.138.209.84,8080,8080,false,NRT,Asia Pacific,Tokyo,109,10.33
131.186.34.244,8080,8080,false,NRT,Asia Pacific,Tokyo,97,10.33
141.144.193.243,443,443,true,FRA,Europe,Frankfurt,215,10.33
150.230.101.125,2086,2086,false,NRT,Asia Pacific,Tokyo,75,10.33
131.186.37.191,8443,8443,true,NRT,Asia Pacific,Tokyo,98,10.32
158.101.154.70,8080,8080,false,NRT,Asia Pacific,Tokyo,75,10.32
144.21.33.96,443,443,true,FRA,Europe,Frankfurt,172,10.32
143.47.253.94,8080,443,true,LHR,Europe,London,160,10.32
158.101.146.165,2082,2082,false,NRT,Asia Pacific,Tokyo,76,10.30
158.101.139.42,8443,8443,true,NRT,Asia Pacific,Tokyo,149,10.29
150.230.97.239,2095,2095,false,NRT,Asia Pacific,Tokyo,100,10.29
140.238.33.165,80,80,false,NRT,Asia Pacific,Tokyo,78,10.28
168.138.198.53,80,80,false,NRT,Asia Pacific,Tokyo,103,10.28
158.101.155.246,2087,2087,true,NRT,Asia Pacific,Tokyo,111,10.28
144.21.42.145,443,443,true,AMS,Europe,Amsterdam,172,10.28
141.147.117.51,443,443,true,EWR,North America,Newark,202,10.27
151.145.65.8,2083,2083,true,NRT,Asia Pacific,Tokyo,101,10.27
138.2.13.133,2052,2052,false,NRT,Asia Pacific,Tokyo,103,10.27
140.238.46.138,2052,2052,false,NRT,Asia Pacific,Tokyo,114,10.27
150.230.97.239,2052,2052,false,NRT,Asia Pacific,Tokyo,78,10.26
158.101.146.160,80,80,false,NRT,Asia Pacific,Tokyo,97,10.25
158.179.190.253,2083,2083,true,NRT,Asia Pacific,Tokyo,108,10.25
158.178.154.62,443,443,true,FRA,Europe,Frankfurt,175,10.25
168.138.207.64,80,80,false,NRT,Asia Pacific,Tokyo,84,10.24
158.101.150.74,2095,2095,false,NRT,Asia Pacific,Tokyo,98,10.24
140.238.33.94,2087,2087,true,NRT,Asia Pacific,Tokyo,96,10.24
